phase,date,species,alive,trap_site,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-08-29,Trachylepis capensis,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-08-29,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-08-29,Trachylepis capensis,alive,D2,2,funnel,3,black,no,NA,adult,yes
pre-treatment,2005-09-01,Trachylepis capensis,alive,Z2,4,funnel,8,blue,no,NA,juvenile,NA
pre-treatment,2005-09-03,Agama aculeata distanti,alive,D1,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,D2,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,D2,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,D3,4,funnel,7,blue,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,Z1,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-05,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,D3,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,D3,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,Z3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis varia,alive,D1,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-06,Trachylepis capensis,alive,D2,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Lycophidion capense,dead,Z3,1,funnel,1,black,NA,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-08,Trachylepis varia,alive,13C,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis varia,alive,13C,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-09,Trachylepis capensis,alive,D2,2,funnel,4,blue,no,NA,adult,NA
pre-treatment,2005-09-11,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-11,Trachylepis capensis,alive,Z2,2,funnel,3,blue,no,NA,juvenile,NA
pre-treatment,2005-09-13,Panaspis wahlbergii,alive,Z2,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-13,Trachylepis capensis,alive,D1,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Agama aculeata distanti,alive,D1,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-14,Trachylepis capensis,alive,Z1,4,funnel,8,black,no,NA,juvenile,NA
pre-treatment,2005-09-16,Trachylepis capensis,alive,Z1,4,funnel,8,black,no,NA,adult,yes
pre-treatment,2005-09-19,Trachylepis capensis,alive,13A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-19,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-20,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-21,Psammophis crucifer,alive,13C,4,funnel,8,blue,NA,NA,adult,NA
pre-treatment,2005-09-22,Gerrhosaurus flavigularis,alive,D3,4,bucket,NA,NA,no,NA,adult,NA
