phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-08-29,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-08-29,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-08-29,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,2,funnel,3,black,no,NA,adult,yes
pre-treatment,2005-09-01,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,4,funnel,8,blue,no,NA,juvenile,NA
pre-treatment,2005-09-03,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,funnel,7,blue,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-05,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis varia,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-06,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Lycophidion capense,dead,3,-26.542916666666667,28.227166666666665,Z3,NA,1,funnel,1,black,NA,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-08,Trachylepis varia,alive,1,-26.504683333333332,28.2903,13C,NA,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis varia,alive,1,-26.504683333333332,28.2903,13C,NA,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-09,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,2,funnel,4,blue,no,NA,adult,NA
pre-treatment,2005-09-11,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-11,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,2,funnel,3,blue,no,NA,juvenile,NA
pre-treatment,2005-09-13,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-13,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-14,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,no,NA,juvenile,NA
pre-treatment,2005-09-16,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,no,NA,adult,yes
pre-treatment,2005-09-19,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-19,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-20,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,0,bucket,NA,NA,no,NA,adult,NA
