trap_site,block,lat,long,phase,treatment
13A,1,-26.500616666666666,28.288283333333332,pre-treatment,NA
13C,1,-26.504683333333332,28.2903,pre-treatment,NA
13B,1,-26.4976,28.2914,pre-treatment,NA
13B,1,-26.4976,28.2914,post-treatment,Control
13A,1,-26.500616666666666,28.288283333333332,post-treatment,Cut
13C,1,-26.504683333333332,28.2903,post-treatment,Burnt
D1,2,-26.524166666666666,28.2735,pre-treatment,NA
D2,2,-26.52391666666667,28.26931666666667,pre-treatment,NA
D3,2,-26.52485,28.2665,pre-treatment,NA
D2,2,-26.52391666666667,28.26931666666667,post-treatment,Cut
D3,2,-26.52485,28.2665,post-treatment,Control
D1,2,-26.524166666666666,28.2735,post-treatment,Burnt
Z2,3,-26.543866666666666,28.215683333333335,pre-treatment,NA
Z1,3,-26.542866666666665,28.2101,pre-treatment,NA
Z3,3,-26.542916666666667,28.227166666666665,pre-treatment,NA
Z3,3,-26.542916666666667,28.227166666666665,post-treatment,Burnt
Z2,3,-26.543866666666666,28.215683333333335,post-treatment,Control
Z1,3,-26.542866666666665,28.2101,post-treatment,Cut
6C,4,-26.547416666666667,28.207066666666666,pre-treatment,NA
6B,4,-26.548866666666665,28.203833333333332,pre-treatment,NA
6A,4,-26.542333333333332,28.2002,pre-treatment,NA
6A,4,-26.542333333333332,28.2002,post-treatment,Burnt
6C,4,-26.547416666666667,28.207066666666666,post-treatment,Control
6B,4,-26.548866666666665,28.203833333333332,post-treatment,Cut
